Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A
192.168.0.20,20,192.168.1.30,1762,8,972,5,792,3,180,37.860808,0.397026,15958.65258,3626.966496
192.168.0.20,20,192.168.1.30,1767,8,668,5,488,3,180,40.276993,0.265448,14707.21196,5424.791296
192.168.0.20,20,192.168.1.30,1768,8,894,5,714,3,180,42.650261,1.689683,3380.515754,852.2308622
192.168.0.20,20,192.168.1.30,1770,13,7236,8,6936,5,300,45.556318,0.096963,572259.5217,24751.70941
192.168.0.20,20,192.168.1.30,1801,8,894,5,714,3,180,102.481712,0.540752,10563.06773,2662.958251
192.168.0.20,20,192.168.1.30,1802,59,58645,45,57805,14,840,104.493608,0.500405,924131.4535,13429.12241
192.168.0.20,20,192.168.1.30,1854,8,972,5,792,3,180,166.872656,0.547283,11577.19133,2631.179847
192.168.0.20,20,192.168.1.30,1856,8,733,5,553,3,180,169.853197,0.410844,10768.07742,3504.979992
192.168.0.20,20,192.168.1.30,1858,28,23085,20,22605,8,480,172.780773,0.172302,1049552.53,22286.45053
192.168.0.20,20,192.168.1.30,1860,30,24113,21,23573,9,540,174.184717,0.177345,1063373.65,24359.29967
192.168.0.20,20,192.168.1.30,1863,8,733,5,553,3,180,176.490871,0.335442,13188.56911,4292.843472
192.168.0.20,20,192.168.1.30,1893,8,972,5,792,3,180,240.204209,0.338636,18710.35566,4252.35356
192.168.0.20,20,192.168.1.30,1894,8,672,5,492,3,180,243.957139,0.343365,11463.0204,4193.787952
192.168.0.20,20,192.168.1.30,1895,8,1668,5,1488,3,180,245.455543,0.036651,324793.3208,39289.51461
192.168.0.20,1022,192.168.1.30,1021,7,420,4,240,3,180,280.914259,0.327374,5864.851821,4398.638866
192.168.0.20,33017,192.168.1.30,25,27,2506,11,1231,16,1275,303.843333,1.47001,6699.274155,6938.728308
192.168.0.20,20,192.168.1.30,1937,8,512,5,332,3,180,349.900366,0.39356,6748.653318,3658.908426
192.168.0.20,20,192.168.1.30,1938,13,7236,8,6936,5,300,351.452753,0.114169,486016.3442,21021.46817
192.168.0.20,20,192.168.1.30,1940,10,3657,6,3417,4,240,352.460696,0.060365,452845.1918,31806.5104
192.168.0.20,20,192.168.1.30,1942,22,16943,15,16523,7,420,353.892004,0.138581,953839.2709,24245.74797
192.168.0.20,20,192.168.1.30,1943,8,894,5,714,3,180,354.970674,0.320713,17810.31639,4489.995728
192.168.0.20,20,192.168.1.30,1987,8,972,5,792,3,180,442.163042,0.776838,8156.140663,1853.668332
